317126502001.0,9.39,8.88,A+,A+,O,A+,O,O,A+,,
317126502002.0,9.11,8.78,A,A+,O,O,A+,A+,A+,,
317126502003.0,7.44,7.55,A,B+,B,A,B+,A+,B+,,
317126502004.0,6.06,,P,B+,C,C,B+,A,B+,,
317126502005.0,4.83,,P,C,P,P,P,A,B,,
317126502006.0,5.67,5.78,B,P,C,B,P,A+,B+,,
317126502007.0,9.5,9.05,O,A+,A+,O,O,O,A,,
317126502008.0,9.17,9.1,A+,A+,A,O,A+,O,A+,,
317126502009.0,8.61,8.25,A,A+,A,O,A,A+,A,,
317126502010.0,8.72,8.83,A,A+,A+,A+,A+,A+,A,,
317126502011.0,,,F,P,C,P,P,C,B+,,
317126502012.0,9.17,8.83,A+,A+,A+,O,A+,A+,A+,,
317126502013.0,8.17,7.78,A+,B+,B+,O,B+,A,A+,,
317126502014.0,8.28,8.48,A,A+,A,A,A,A+,A,,
317126502015.0,5.17,,C,P,P,C,C,B+,B+,,
317126502016.0,8.11,8.1,B+,A,A,A+,A,A+,A,,
317126502017.0,8.89,8.83,A+,A+,A,A+,A+,A+,A+,,
317126502018.0,6.78,6.28,B,B+,C,A+,B,B+,B+,,
317126502019.0,7.78,7.43,B,A,B+,A+,B+,A+,A+,,
317126502020.0,,,F,F,F,P,F,B,A,,
317126502021.0,7.28,6.75,B+,B+,C,A,B+,A+,A,,
317126502022.0,8.61,8.35,A+,A+,A,O,B+,A+,A,,
317126502023.0,9.17,8.75,O,A+,A+,A+,A+,A+,A+,,
317126502024.0,,,F,F,P,F,F,C,B+,,
317126502025.0,9.06,8.98,A+,A+,A+,O,A+,A+,A,,
317126502026.0,,,F,P,P,F,P,A,B+,,
317126502027.0,6.22,,P,B,C,B+,B+,A,B+,,
317126502028.0,4.44,,P,P,P,P,P,C,B+,,
317126502029.0,4.72,,P,P,P,P,C,B,B+,,
317126502030.0,5.06,5.75,P,P,P,C,P,A+,B+,,
317126502031.0,8.72,8.55,A+,A+,A,A+,A,O,A,,
317126508001.0,,,F,C,B+,F,B,A,A,,
317126508002.0,8.33,7.9,A,A,A+,A,A,A+,A+,,
317126508003.0,8.72,8.78,A,A+,A+,O,A,A+,A,,
317126508004.0,9.44,9.3,O,A+,A+,O,A+,O,A+,,
317126508005.0,9.22,9.08,O,A+,A+,O,A+,A+,A,,
317126508006.0,8.0,7.83,A+,B+,A,A,A,A+,B+,,
317126508007.0,8.89,8.55,O,A,A,O,A,A+,A+,,
317126508008.0,8.72,8.85,A+,A,A+,O,A,A+,A,,
317126508009.0,,,F,P,B,F,B,B+,B+,,
317126508010.0,9.39,9.15,O,A+,A+,O,O,A,A+,,
317126508011.0,7.61,7.98,A,A,B,A,B+,A,A,,
317126508012.0,,,F,F,C,F,F,B+,B+,,
317126508013.0,7.5,7.05,A,B+,A,B+,B+,A+,B+,,
317126508014.0,5.17,,P,P,B+,P,C,B+,B+,,
317126508015.0,,,F,F,P,F,C,A,C,,
317126508016.0,,,P,F,P,F,F,B,C,,
317126508017.0,5.22,,C,P,B,C,P,B+,B+,,
317126508018.0,7.72,6.73,A,B+,B+,A,A,A+,B+,,
317126508019.0,8.11,7.35,A+,A,A,A+,B,A+,A,,
317126508020.0,5.28,5.63,P,P,B+,P,C,A,B+,,
317126508021.0,7.61,7.53,B+,A,A,B+,B+,A+,A,,
317126508022.0,6.78,6.73,C,B,B,B+,A,A,A,,
317126508023.0,6.28,6.65,C,B+,B+,B,C,A,B+,,
