317126502001.0,8.45,8.45,B+,A,A,A,A+,A+,O,A+
317126502002.0,8.5,8.5,A,B+,A+,B+,A+,O,A+,O
317126502003.0,7.64,7.64,B+,A,B+,A,A,A+,B,A+
317126502004.0,,,B,F,B+,C,B+,A,F,A+
317126502005.0,,,C,P,P,F,P,C,I,A+
317126502006.0,,,B,C,P,C,B,B,F,A+
317126502007.0,8.68,8.68,B+,O,A,A,A+,O,A+,A+
317126502008.0,9.05,9.05,A,A+,A,O,A,O,O,O
317126502009.0,,,B+,A,A,A+,A,A,F,A+
317126502010.0,8.91,8.91,A,A,A,O,A+,O,A+,O
317126502011.0,,,B,F,F,P,P,A,F,A+
317126502012.0,8.55,8.55,A,A,A,A+,A+,O,A,A+
317126502013.0,7.45,7.45,A,A,B+,A,C,O,B,A+
317126502014.0,8.64,8.64,A+,B+,B+,A+,A+,O,A+,O
317126502015.0,,,P,P,P,C,C,C,F,A+
317126502016.0,8.09,8.09,A,C,A,A+,A+,O,B+,O
317126502017.0,8.77,8.77,A,O,A,O,A+,A+,A,A
317126502018.0,,,B,C,C,C,P,A,F,O
317126502019.0,,,B+,B+,B+,B,A,A,F,A+
317126502020.0,,,B+,F,B,C,P,A,F,O
317126502021.0,6.32,6.32,B,C,C,B+,C,A,B+,A+
317126502022.0,8.14,8.14,B+,A+,A,A,A+,O,B,A+
317126502023.0,8.41,8.41,A,O,A,A+,A,A+,B,O
317126502024.0,,,P,F,P,F,C,C,F,A+
317126502025.0,8.91,8.91,A+,A,A,A+,A+,O,A+,O
317126502026.0,,,P,F,P,C,C,A,F,A+
317126502027.0,,,B,F,P,F,P,A,F,A
317126502028.0,,,B,P,F,F,P,C,B,A+
317126502029.0,,,B,F,P,F,B+,C,I,A+
317126502030.0,,,B,P,P,A,B,A,F,A+
317126502031.0,8.41,8.41,B+,A,A,A,A+,O,A+,A+
317126508001.0,,,B,F,C,P,B,B+,C,A+
317126508002.0,7.55,7.55,A,B,A,B,B,O,A,O
317126508003.0,8.82,8.82,A,O,A+,A+,A,O,A,A+
317126508004.0,9.18,9.18,A,O,A+,O,A,O,A+,O
317126508005.0,8.95,8.95,A,O,A+,A+,A,A+,A+,O
317126508006.0,7.68,7.68,B+,A+,B+,B,B+,A+,A+,A
317126508007.0,8.27,8.27,A,A,A,A,A,A+,A,O
317126508008.0,8.95,8.95,B+,A+,A+,A+,O,O,A+,A+
317126508009.0,,,B,P,F,F,B,A,C,A
317126508010.0,8.95,8.95,A,A+,A+,O,A,O,A+,A+
317126508011.0,8.27,8.27,B,A+,A+,A+,A,O,B+,A+
317126508012.0,,,P,P,F,F,P,B,F,A
317126508013.0,6.68,6.68,B+,B,B+,C,B+,A+,C,A+
317126508014.0,,,C,F,C,P,P,A,C,A+
317126508015.0,,,C,F,F,P,C,B,F,A+
317126508016.0,,,C,P,F,P,F,C,F,B+
317126508017.0,,,B,F,P,P,P,B+,C,A+
317126508018.0,5.91,5.91,B,C,C,P,B,A,B,A+
317126508019.0,6.73,6.73,B+,B+,B+,C,B+,A+,C,A
317126508020.0,5.91,5.91,B,P,C,P,B+,A,B,A+
317126508021.0,7.45,7.45,B+,B+,B+,B,A,A+,B+,O
317126508022.0,,,B,P,F,B,B+,A+,I,A+
317126508023.0,6.95,6.95,B+,B,B,B,B+,A+,B+,A+
317126508024.0,7.14,7.14,P,B+,B+,A+,B,O,B,O
317126508025.0,7.77,7.77,A,A,A,C,A,A+,A,A+
317126508026.0,7.68,7.68,B+,B+,B,A+,B+,O,B+,O
317126508027.0,,,B,P,C,P,B+,B+,F,A
317126508028.0,8.95,8.95,A,A+,A+,O,A,O,A+,A+
317126508029.0,8.0,8.0,B+,A,B+,A,B+,A+,A+,O
317126508030.0,5.77,5.77,B,C,P,P,C,A,B+,A+
317126508031.0,8.27,8.27,B+,A+,A,A+,A,O,B+,A+
317126508032.0,7.09,7.09,B,O,A,P,B,O,B,A
317126508033.0,,,C,F,F,P,P,A,F,A
317126508034.0,7.0,7.0,B+,B+,B+,B,B+,A,B,A+
317126508035.0,7.5,7.5,A,B,A+,C,A,A+,B+,A+
317126508036.0,,,C,F,F,F,C,B,F,B+
317126508037.0,,,C,C,P,B,P,A+,F,A
317126508038.0,,,B+,P,P,C,C,A,F,A
317126508039.0,6.73,6.73,B+,B,P,B,B+,A,A,A+
317126508040.0,7.23,7.23,B+,B+,B+,C,B+,A+,A,A+
317126508041.0,,,B,P,C,B,P,F,F,B+
317126508042.0,6.55,6.55,B+,C,B+,P,A,O,C,A
317126508043.0,,,B,F,P,F,P,A,F,A
317126508044.0,,,B+,F,P,P,C,A,B+,A
317126508045.0,,,A,F,B+,A,C,A+,B+,A+
317126508046.0,6.77,6.77,B,B+,B,C,A,O,C,A+
317126508047.0,,,A,B,B+,P,A,O,F,A+
317126508048.0,,,A,P,P,B+,B,F,C,A+
317126508049.0,7.91,7.91,B+,A,A,B+,A,A+,A,A+
317126508050.0,,,B+,F,P,F,B,B,F,A
317126508051.0,9.45,9.45,A,O,O,O,A+,O,A+,O
317126508052.0,8.36,8.36,B+,A,A,A+,A,O,A,O
317126508053.0,,,B+,P,F,F,C,B,C,B+
317126508054.0,5.14,5.14,C,P,P,P,P,A,B,A
317126508055.0,8.59,8.59,A,A,A+,A+,A,A+,A+,A+
317126508056.0,5.68,5.68,B,C,P,C,P,A,B+,A
317126510001.0,7.89,7.89,B+,O,B+,B,B,A+,O,
317126510002.0,8.05,8.05,A,A+,B+,A+,B+,A+,A,
317126510003.0,,,B+,A,B,C,C,B,F,
