317126502001,8.78,8.73,A,A+,A+,O,A,A,A+,,
317126502002,9.35,8.9,A+,O,O,A,A+,O,O,,
317126502003,7.43,7.4,B+,A,B+,A,B,A+,A,,
317126502004,5.17,,C,C,C,C,P,B+,B+,,
317126502006,5.83,5.7,B,C,B+,C,C,B+,B+,,
317126502007,9.87,9.31,A+,O,O,O,O,O,O,,
317126502008,9.74,9.13,A,O,O,O,O,O,O,,
317126502009,8.61,8.36,A,A+,A+,A,A,O,A+,,
317126502010,9.17,8.78,A+,A+,A+,O,A+,A+,A+,,
317126502011,,,P,P,C,F,P,C,F,,
317126502012,9.26,8.9,A+,O,A+,A+,A+,O,A+,,
317126502013,8.0,7.82,A,A,A,A,B+,A+,A+,,
317126502014,8.48,8.35,B+,A+,A+,A+,B+,O,A+,,
317126502015,,,C,P,P,C,F,C,A,,
317126502016,8.04,7.94,B+,A,A,A+,A,B+,A+,,
317126502017,9.13,8.9,A,A+,A+,O,A+,O,A+,,
317126502018,6.04,,C,B+,B+,C,P,A,A,,
317126502019,7.35,7.04,B+,B+,B+,A,B+,A,A,,
317126502020,,,F,F,F,F(Ab,F,F,B+,,
317126502021,6.83,6.67,B+,B+,B+,B+,B,B+,B+,,
317126502022,7.83,8.11,A,A,B+,A,A,A,A,,
317126502023,8.61,8.73,A,A+,A,A+,A,A+,O,,
317126502024,,,F,F,F,F(Ab,F,F,F,,
317126502025,9.35,9.04,A+,O,A+,A+,A+,O,O,,
317126502027,5.61,,C,C,C,B+,P,B+,A,,
317126502029,,,C,F,P,F,F,B,A,,
317126502030,5.52,5.76,C,C,B,P,C,A,A,,
317126502031,8.87,8.69,A,A+,A+,A,A+,O,O,,
318126502L01,7.78,7.56,B+,A,A,A,B+,A,A+,,
318126502L02,8.87,8.72,A,A+,A+,A+,A+,A+,A+,,
318126502L03,8.74,8.3,B+,A+,A+,A,A+,O,O,,
318126502L04,7.09,6.72,B+,B,A,B,B+,A,A+,,
318126502L05,,,F,P,P,F,F,B+,B+,,
318126502L06,7.3,6.77,B,A,A,B+,B+,A,B+,,
318126502L07,7.7,7.6,B+,A,A,B+,B+,A+,A+,,
318126502L08,7.04,6.56,B,B+,A,A,C,A,A,,
318126502L09,6.91,6.42,B+,B+,A,B+,P,A,A+,,
318126502L10,,,F,C,B+,B+,C,A,A+,,
318126502L11,7.48,6.72,B,A,A,A,B,A,A+,,
318126502L12,5.43,,C,P,B,B+,P,B,B+,,
318126502L13,,,P,P,P,P,F(Ab,B+,B+,,
318126502L14,6.3,,C,C,B+,A,P,A+,A,,
318126502L15,7.43,7.09,B+,A,A,A,C,A,A+,,
318126502L16,7.87,7.65,B+,A,A+,A,B,A+,A+,,
318126502L17,7.0,6.33,B+,B+,B+,B+,B,A,A,,
318126502L18,6.65,,B+,B,B,B+,B,A,A,,
316126508072,7.46,7.44,C,B+,B+,A,B+,A,O,A,A+
