318126502L01,7.3,7.3,B+,C,A,B,A,A+,A+,
318126502L02,8.55,8.55,A,A+,A+,B+,A,O,O,
318126502L03,7.8,7.8,C,A,A,B+,A+,O,A,
318126502L04,6.3,6.3,C,P,B+,B,B+,A,A,
318126502L05,,,F,F,F,P,F,A+,A,
318126502L06,6.15,6.15,B,P,B+,P,B+,A,A,
318126502L07,7.5,7.5,B+,B,A,B+,B+,O,A+,
318126502L08,6.0,6.0,C,C,B+,C,C,A,A+,
318126502L09,5.85,5.85,C,C,B,C,C,A+,A,
318126502L10,,,F,F,C,P,C,A+,A+,
318126502L11,5.85,5.85,C,P,B+,C,C,A+,A,
318126502L12,,,P,F,C,F,P,B+,A+,
318126502L13,,,P,F,P,F,F,B+,A,
318126502L14,,,F,F,B,F,P,A,A,
318126502L15,6.7,6.7,C,B,B+,B,B,O,A+,
318126502L16,7.4,7.4,B+,B,A,C,A,O,A+,
318126502L17,5.55,5.55,C,P,B,P,C,A,A+,
318126502L18,,,C,F,B+,F,B,A+,A,
318126508L01,9.18,9.18,A+,A+,A,O,A+,A+,O,O
318126508L02,7.91,7.91,A,A,A,B+,A,B+,A+,A+
318126508L03,8.86,8.86,A,O,A,A+,O,A,A,O
318126508L04,8.59,8.59,A,A+,B+,A+,A+,A+,A,O
318126508L05,6.95,6.95,B+,B,B,A,C,B+,A+,A+
318126508L06,6.32,6.32,P,B+,B+,B,B+,P,A,A+
318126508L07,8.18,8.18,B+,A+,A,A+,A,B+,A,O
318126508L08,8.18,8.18,B+,A+,A,A,A+,B+,A+,A+
318126508L09,8.32,8.32,A,A,B+,A+,A,A+,A+,A+
318126508L10,7.95,7.95,A,A+,B+,A,B+,A,A,A+
318126508L11,6.05,6.05,P,A,P,B+,B+,C,B+,B+
318126508L12,6.18,6.18,C,A,B+,B,B,P,B+,B+
318126508L13,,,F,B+,B,P,C,P,B,B+
318126508L14,7.68,7.68,B+,A,B,A,A,A,A+,A
318126508L15,9.05,9.05,A+,A+,A+,O,A+,A+,A,A+
318126508L16,7.77,7.77,B,A+,A,A,A,A,A,B+
318126510L01,6.29,6.29,B,B,B+,C,C,A,A,B+
318126510L02,7.92,7.92,A+,B+,A,B+,A,A,A+,B+
318126510L03,,,F,C,B+,B,B,A+,B,F
318126510L04,,,F,F,B+,P,F,A,B+,B
318126510L05,7.71,7.71,A,A,A,B+,B,A+,A+,A
318126510L06,,,C,F,B+,B,F,A+,A,B
318126510L07,5.29,5.29,B,C,C,P,C,B+,B,C
318126510L09,6.88,6.88,A,B+,A,P,B,A,A+,C
318126510L10,6.88,6.88,B+,C,B+,A,C,A+,A,A
318126510L11,,,B+,F,B,C,F,A,A,C
318126510L12,7.75,7.75,A,B+,A,A+,B,A+,A+,B+
318126510L13,7.38,7.38,B+,B+,A,A,B,A,A,A
318126510L14,,,P,C,C,C,F,B+,A+,B
318126510L15,,,F,F,F,F,F,F,B+,B+
318126510L16,6.88,6.88,B+,C,A,B,B,A,A+,B+
318126510L17,,,B,B,P,A,F,A,A,B+
318126510L18,6.83,6.83,A,B,B,B,C,A+,A,A+
318126510L19,,,F,F,F,F,F,B+,B+,F
318126510L20,,,A,P,A,B+,F,A+,A+,O
318126510L21,,,F,F,C,P,F,B+,B+,B+
318126510L22,5.75,5.75,B,C,P,B+,C,B+,B+,B+
318126510L23,6.25,6.25,B,B+,B+,C,C,B+,B+,B+
318126510L24,6.54,6.54,B,C,B+,A,B,B+,B+,B+
318126510L25,8.5,8.5,A+,A,A+,A,B+,A+,O,A+
318126510L26,8.46,8.46,A,A,A,A+,A,A+,O,A+
318126510L27,6.71,6.71,A,B+,B,P,C,A+,A+,A
318126510L29,,,P,P,B,F(Ab,F,B+,C,F
318126510L30,8.42,8.42,A+,B+,A+,A+,B+,A,A+,O
318126510L31,,,B+,C,B+,C,P,B+,A,F
318126514L01,,,B,F,F,P,B,B,B,A+
318126514L02,8.0,8.0,A,B+,B+,B+,A,A+,A+,O
318126514L03,,,P,C,F,C,B+,B,B+,O
318126514L04,7.55,7.55,A,B,B+,B+,A,A,A,A+
318126514L05,8.05,8.05,A,A,A,A,A,B+,A,O
318126514L06,8.0,8.0,A,A,A,B+,A,B+,A+,O
318126514L07,,,F,F,F,F,F,F,B,A
318126514L08,,,F,F,F,F,B,P,B+,A+
318126514L09,,,F,F,C,B,B+,B+,B+,A+
318126514L10,8.55,8.55,A+,B+,A,A,A+,A+,A+,O
318126514L11,,,F,F,F,F,F,F,F,A+
318126514L12,7.27,7.27,A,B,B,B+,A,B+,A,A+
318126514L13,7.41,7.41,B+,B,A,B,A,A,A+,A
318126514L14,8.82,8.82,A+,A+,A,A,A+,A+,A+,O
318126514L15,8.05,8.05,B+,A,A,B+,A,A+,A+,A+
318126514L16,7.45,7.45,B+,B+,A,B+,B+,A,A+,B+
318126514L17,7.55,7.55,A,B+,B+,B+,B+,A,A+,A
318126514L18,7.73,7.73,A+,A,B,A,B+,A,A,A
318126514L19,6.95,6.95,B+,B,B+,B,B+,A,B+,A
318126514L20,6.32,6.32,B,C,C,B,B,B+,A+,A
