,,,EM-III,OC,ME&SM,BEEE,CPC,OC LA,ME LA,
,,,Enginee ring Mathem atics-III,Organic Chemist ry,Mechani cal Enginee ring and,Basic Electric al and Electron,Chemic al Process Calculat,Organic Chemist ry Laborat,Mechani cal Enginee ring,
317126508016,,,F,F,F,P,P,F,B+,C
317126508017,,,C,A,C,F,F,F,A+,B+
317126508018,6.59,6.68,B,B+,B,B+,B+,P,A+,A
317126508019,8.09,7.61,A,A+,A,A,A,B+,A+,A
317126508020,4.68,5.29,P,C,P,P,P,P,A,B
317126508021,7.41,7.48,B+,A+,A,B+,B+,C,A+,A
317126508022,6.59,6.68,B+,A+,B+,C,B,C,B+,B+
317126508023,,,P,B,C,C,B,F,A,B+
317126508024,7.55,7.53,B+,A,B+,A,B+,B+,A,A+
317126508025,8.14,8.18,A,A+,A,A,A,A,A,A
317126508026,7.18,7.58,B,A,A,A,B+,C,A+,B+
317126508027,,,F,C,C,F,F,F,C,F
317126508028,8.73,8.81,A,A+,A,A+,A+,A+,O,A
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126508029,7.82,8.15,A,A,A,A,A,B,A,A+
317126508030,,,P,B,P,F,B,F,A,C
317126508031,9.14,8.81,O,A+,A+,O,A,A+,A,O
317126508032,7.05,7.24,A+,C,C,A,B+,B+,A,A
317126508033,,,F,F(Ab,F(Ab,F(Ab,F(Ab,F(Ab,C,C
317126508034,7.91,7.73,A,A+,A+,A,A,B,B+,A
317126508035,6.32,7.15,B,B+,B+,B,C,P,O,B+
317126508036,,,F,F,F,F,F,F,C,C
317126508037,,,P,P,F,F,P,F,C,C
317126508038,6.09,5.89,P,B+,B,B,B+,P,A,A
317126508039,5.86,6.60,C,B+,C,B,B,P,A,B+
317126508040,7.95,7.60,A,A,B+,A+,A+,B,A+,A
317126508041,,,P,F,C,P,P,F,B+,C
317126508042,7.18,7.31,A,B+,B+,B+,A,C,A,A
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126508043,,,F,P,P,P,P,F,B,C
317126508044,,,P,B,F,P,F,F,B+,C
317126508045,7.23,,B+,A,A,B+,B+,P,O,A
317126508046,6.50,6.60,B+,B,B+,B,B+,B,B,B+
317126508047,,,A,A,A,B+,F(Ab,F(Ab,B+,B+
317126508048,,,P,B+,P,P,F,F,B,B
317126508049,8.23,8.00,A,A+,A,A+,A+,B,A+,A
317126508050,4.64,,P,C,P,C,P,P,B+,C
317126508051,9.18,9.40,A+,O,A+,O,A+,A+,O,B+
317126508052,8.23,8.31,A+,A,A,A+,A,B+,A,A+
317126508053,,,F,F,F,B+,F,F,B,C
317126508054,,,F,C,F,P,F,F,B,C
317126508055,8.86,8.95,A+,A+,A+,A+,A+,A,A,O
317126508056,,,F,F,P,F,C,F,A+,B+
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
318126508L01,9.18,9.18,A+,A+,A,O,A+,A+,O,O
318126508L02,7.91,7.91,A,A,A,B+,A,B+,A+,A+
318126508L03,8.86,8.86,A,O,A,A+,O,A,A,O
318126508L04,8.59,8.59,A,A+,B+,A+,A+,A+,A,O
318126508L05,6.95,6.95,B+,B,B,A,C,B+,A+,A+
318126508L06,6.32,6.32,P,B+,B+,B,B+,P,A,A+
318126508L07,8.18,8.18,B+,A+,A,A+,A,B+,A,O
318126508L08,8.18,8.18,B+,A+,A,A,A+,B+,A+,A+
318126508L09,8.32,8.32,A,A,B+,A+,A,A+,A+,A+
318126508L10,7.95,7.95,A,A+,B+,A,B+,A,A,A+
318126508L11,6.05,6.05,P,A,P,B+,B+,C,B+,B+
318126508L12,6.18,6.18,C,A,B+,B,B,P,B+,B+
318126508L13,,,F,B+,B,P,C,P,B,B+
318126508L14,7.68,7.68,B+,A,B,A,A,A,A+,A
,,,EM-III,BT,EG,EM,SURV-,SOM,SFW-I,SOM L
,,,Enginee ring Mathem atics-III,Building Technol ogy,Enginee ring Geology,Enginee ring Mechani cs,Surveyi ng– I,Strength of Material s,Surveyi ng Field Work-I,Strength of Material s Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
318126508L15,9.05,9.05,A+,A+,A+,O,A+,A+,A,A+
318126508L16,7.77,7.77,B,A+,A,A,A,A,A,B+
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510001,7.50,7.93,A,C,A,B+,B+,A+,A,A+
317126510002,7.33,7.72,A,C,A,B+,B,A+,O,B+
317126510003,5.96,6.30,B+,C,C,P,B+,B+,B+,B
317126510004,,,B+,F,B+,P,F,A,B+,B+
317126510005,7.50,7.55,A+,C,A,B+,B,A,A+,A+
317126510006,6.88,6.84,A,C,B+,P,B+,A,A+,A
317126510007,,,C,P,B,F,P,B+,B+,F
317126510008,8.21,8.09,A+,B+,A+,A,B+,A+,A+,A
317126510009,8.33,7.46,A+,P,A+,A,A+,A+,A+,O
317126510010,8.33,8.73,A+,B,A+,A,B+,O,A+,O
317126510011,7.58,7.37,A,C,A,B+,B+,A+,A+,A+
317126510012,8.75,8.82,O,B+,A,A+,A+,A+,A,O
317126510013,8.67,8.88,A+,A,A+,A,A+,A+,A,A+
317126510014,8.58,8.42,A+,B+,A+,B+,A+,O,A+,A+
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510015,9.38,9.25,A+,A,O,A+,O,O,A+,O
317126510016,8.58,8.63,A+,B+,A,A+,A+,A,A+,O
317126510017,,,A,P,B+,B,B,A,A,F
317126510018,,,B+,P,B+,P,B,A+,A+,F
317126510019,7.21,7.25,B+,C,A,A,B+,B+,A,A
317126510020,9.46,9.18,A+,A,O,A+,O,O,O,O
317126510021,7.71,7.75,A,C,A,A,A,A+,B+,A+
317126510022,8.83,8.75,A+,B+,O,A+,A+,A,A+,A+
317126510023,8.83,8.69,B+,A,A+,O,O,A+,A+,A+
317126510024,8.79,8.55,A+,A,A+,A+,A,A+,A+,O
317126510025,7.13,7.66,A,P,B+,B+,B+,A+,A,A
317126510026,,,B+,P,B+,F,F,A,A+,F
317126510027,8.04,7.73,A+,B+,A,P,A,O,O,O
317126510028,,,B,F,B,F,F,A,A,F
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
317126510029,7.04,7.15,A,P,A,C,B+,A,A+,A
317126510030,9.29,9.04,A+,A,A+,A+,O,O,O,O
317126510031,6.75,6.73,A,P,A,B,B+,A,B+,C
317126510032,,,A,F,B+,C,C,B+,B+,B
317126510033,6.25,6.36,B+,P,B+,B,C,B+,B+,A
317126510034,7.58,7.88,A,P,A+,A,A,B+,A,A
317126510035,8.25,7.96,A+,B+,A+,B+,A,A,A+,A+
317126510036,9.46,9.49,A+,A,O,A+,O,O,O,O
317126510037,9.38,9.19,O,A+,O,A,O,A+,O,A
317126510038,9.42,9.13,O,A+,A+,A+,A+,O,O,O
317126510039,9.25,9.09,A+,B+,O,A+,O,O,O,A+
317126510040,,,B,F,B+,B+,P,A+,A,B+
317126510041,9.63,9.43,O,A,O,A+,O,O,O,O
317126510042,,,B+,C,A,P,B+,A,B,F
,,,DS&A,DLD,DMS,OOP W,PS&QT,DS LA,DE LA,JAVA
,,,Data Structur es  & Algorith,Digital Logic Design,Discret e Mathem atical,Object Oriente d Progra,"Probabil ity, Statistic s &",Data Structur es  Lab,Digital Electron ics Lab,Java Lab
,,,Grad,Grad,Grad,Grad,Grad,Grad,Grad,Grad
